Measurement_ID,Date,Product_Key,Plant_Key,Production_Units,Electricity_kWh,Fuel_Tons,Renewable_Percent,Scope1_Emissions_tCO2,Scope2_Emissions_tCO2,Energy_Cost_USD,Carbon_Tax_USD
37,2019-01-02 00:00:00,3,32,6134,64990,130.82,17.17,144.37,10.2,23140,1765
38,2019-01-02 00:00:00,4,33,831,83789,67.85,90.61,28.19,55.72,2286,2347
39,2019-02-01 00:00:00,2,34,6517,25998,92.84,91.75,28.41,58.93,39053,4535
40,2019-01-02 00:00:00,3,35,8025,13273,29.36,5.83,32.64,136.56,9071,4530
41,2019-02-01 00:00:00,4,21,2976,58940,208.48,59.61,21.17,83.53,43073,4368
42,2019-02-01 00:00:00,4,36,3696,98262,197.26,19.54,131.31,72.73,29251,4294
43,2019-01-02 18:00:00,3,15,6922,26032,202.38,16.71,185.87,149.22,13922,1652
44,2019-01-02 00:00:00,3,8,8255,45914,330.24,49.55,55.34,140.0,40583,4551
45,2019-01-02 00:00:00,5,37,549,28678,80.95,0.92,144.9,107.81,30389,857
46,2019-01-02 00:00:00,3,38,2832,20805,264.57,12.82,187.77,64.01,49675,4684
47,2019-01-02 00:00:00,1,31,6081,15068,152.49,88.94,135.48,60.78,11195,1230
48,2019-02-01 00:00:00,2,17,3972,94375,192.21,22.92,119.23,26.72,48801,1802
49,2019-01-03 00:00:00,4,7,8749,63275,311.47,54.16,130.11,75.99,40026,8
50,2019-01-03 00:00:00,1,32,7503,99815,344.15,66.63,102.97,53.84,47470,2955
51,2019-01-03 00:00:00,1,8,8514,54522,268.75,5.82,83.64,73.36,3597,2546
52,2019-03-01 00:00:00,4,7,6932,98331,444.28,11.97,73.21,114.69,44101,1959
53,2019-01-03 00:00:00,2,34,5874,14202,185.95,36.94,165.2,16.39,30061,1404
54,2019-03-01 00:00:00,5,39,4178,53952,405.7,43.46,24.14,46.89,36619,1427
55,2019-03-01 00:00:00,5,40,4508,27102,41.89,23.09,183.58,128.59,5629,3473
56,2019-01-03 07:00:00,1,41,1248,84040,488.16,83.85,96.62,93.55,18351,461
57,2019-03-01 00:00:00,1,42,4067,9791,237.14,39.16,78.24,146.57,1696,3045
58,2019-01-03 00:00:00,3,16,2168,84276,413.73,92.54,116.64,37.48,37368,2073
59,2019-01-03 00:00:00,5,13,3833,88104,209.07,6.79,32.14,27.84,47686,4244
60,2019-03-01 00:00:00,5,43,9836,12241,168.05,1.89,65.95,62.21,30713,4649
61,2019-03-01 00:00:00,2,44,7216,11610,64.21,5.53,156.58,126.0,8096,3318
62,2019-01-03 00:00:00,3,31,3910,58049,349.91,78.76,14.18,50.3,7964,3587
63,2019-03-01 00:00:00,4,45,5422,8897,133.34,26.0,15.49,96.06,27586,2573
64,2019-01-03 15:00:00,4,21,5213,54768,139.88,56.86,14.83,5.72,48035,3252
65,2019-03-01 00:00:00,2,5,4699,54798,14.75,57.07,185.87,134.61,17963,1132
66,2019-01-03 00:00:00,4,31,3470,94643,141.95,61.3,195.28,123.24,30548,770
67,2019-03-01 00:00:00,5,46,1607,24346,394.38,59.29,133.3,100.43,27194,3499
68,2019-01-03 00:00:00,1,45,6514,97608,92.91,65.82,59.15,11.57,12375,1363
69,2019-03-01 00:00:00,3,47,913,72135,164.67,9.42,93.68,98.31,10087,1868
70,2019-01-03 00:00:00,4,48,2909,91447,182.38,91.94,58.82,78.68,38656,4787
71,2019-01-03 00:00:00,4,3,2161,68707,426.72,6.93,169.63,99.88,46095,1580
72,2019-01-03 00:00:00,4,49,6395,38564,69.23,49.58,144.41,99.83,14963,1634
73,2019-01-04 00:00:00,4,50,5144,21596,40.28,66.0,92.15,130.21,12179,3497
74,2019-04-01 00:00:00,1,3,1654,52025,53.63,61.88,159.66,59.07,1024,3052
75,2019-01-04 00:00:00,1,51,5968,26575,185.23,8.36,19.01,132.02,6672,1922
76,2019-01-04 00:00:00,2,52,6037,76513,68.53,67.35,71.21,16.01,33010,3620
77,2019-01-04 04:00:00,5,36,9694,83380,375.64,91.69,136.65,24.95,46262,3292
78,2019-01-04 00:00:00,4,27,3234,84970,134.44,39.84,154.22,51.3,18880,1395
79,2019-01-04 00:00:00,2,52,2069,25797,221.15,51.69,32.18,113.3,32176,2833
80,2019-01-04 00:00:00,5,53,7873,28186,215.52,98.06,83.04,55.98,49460,2564
81,2019-01-04 00:00:00,1,5,6995,59713,58.18,59.68,103.09,92.4,6576,4388
82,2019-04-01 00:00:00,4,54,6170,91951,420.5,66.33,79.96,118.94,31285,4073
83,2019-01-04 10:00:00,1,22,9797,34929,471.69,24.55,23.0,72.2,26073,1176
84,2019-01-04 00:00:00,4,17,3536,58927,268.83,96.78,45.33,83.69,26158,469
85,2019-01-04 00:00:00,1,46,9210,58648,62.99,8.27,126.64,22.01,41536,3305
86,2019-01-04 00:00:00,2,38,4142,7675,488.01,49.34,141.82,53.15,4585,215
87,2019-01-04 00:00:00,2,38,5060,69055,10.54,85.65,111.59,9.86,34163,3558
88,2019-01-04 00:00:00,1,55,2504,21608,470.95,74.39,7.44,81.46,2732,4002
89,2019-01-04 00:00:00,1,56,5560,79392,280.48,27.71,10.39,7.81,6549,1540
90,2019-01-04 17:00:00,3,57,4596,57621,262.55,80.67,83.57,106.22,33696,1374
91,2019-04-01 00:00:00,4,58,2524,48523,429.26,72.15,109.94,12.59,5852,2451
92,2019-01-04 00:00:00,3,27,3151,47133,488.85,31.22,162.53,131.56,32599,1609
93,2019-01-04 00:00:00,1,28,7518,53409,239.65,68.77,18.4,65.74,14375,3791
94,2019-04-01 00:00:00,2,50,2144,51766,335.45,55.98,153.51,71.05,33924,1742
95,2019-01-04 22:00:00,4,8,910,79319,141.22,47.54,98.74,119.94,16563,1769
96,2019-01-04 00:00:00,2,16,3732,90425,499.73,56.8,130.7,3.6,9149,3229
97,2019-01-05 00:00:00,1,13,2130,67865,345.72,15.74,156.66,128.8,48430,1374
98,2019-01-05 00:00:00,3,55,2130,48240,231.11,48.31,173.12,63.31,13417,171
99,2019-01-05 00:00:00,4,59,8988,2856,236.6,75.2,39.31,71.94,17441,4400
100,2019-01-05 00:00:00,3,56,625,39575,448.53,76.67,86.42,17.64,39113,2644
101,2019-01-05 00:00:00,4,60,7166,92638,425.09,81.05,188.29,52.74,16813,1673
102,2019-01-05 00:00:00,2,15,3690,49964,86.92,47.0,52.68,51.61,45060,1006
103,2019-01-05 06:00:00,5,61,7323,78075,172.01,72.72,116.82,26.75,25315,4931
104,2019-01-05 00:00:00,4,62,474,99111,150.21,76.52,27.72,38.86,31660,3622
105,2019-01-05 08:00:00,1,52,9538,5932,171.11,78.14,73.65,63.4,10452,3884
106,2019-01-05 00:00:00,4,62,4069,5125,135.05,1.62,22.54,13.38,23764,2373
107,2019-01-05 10:00:00,1,63,7353,80752,19.82,66.43,34.99,47.14,1672,1784
108,2019-01-05 11:00:00,5,37,115,46870,480.61,22.28,6.13,90.54,41176,1679
109,2019-01-05 00:00:00,5,64,4860,54819,489.94,47.72,99.86,17.63,45032,629
110,2019-01-05 00:00:00,2,24,4070,79601,285.75,94.79,193.9,21.3,2170,2997
111,2019-01-05 14:00:00,2,55,8661,79743,184.56,13.62,140.94,139.11,38712,1458
112,2019-01-05 15:00:00,5,65,1296,3579,130.32,23.51,177.09,31.03,42308,1419
113,2019-05-01 00:00:00,4,64,789,68796,259.7,92.9,78.18,16.99,42863,4178
114,2019-01-05 00:00:00,4,66,1334,10228,453.74,57.56,9.42,24.48,22031,4785
115,2019-01-05 18:00:00,2,27,3816,31654,483.06,23.13,13.68,32.18,48293,1833
116,2019-01-05 00:00:00,4,21,9508,18302,413.47,44.68,13.23,76.78,29388,2989
117,2019-01-05 20:00:00,4,3,9347,37395,105.12,81.47,192.81,122.38,46312,2335
118,2019-01-05 00:00:00,4,43,9088,54616,134.02,18.59,120.7,22.34,41520,1208
119,2019-01-05 22:00:00,4,67,3529,48674,212.56,2.29,45.2,127.13,21699,1515
120,2019-01-05 00:00:00,1,68,4986,73151,269.3,17.56,138.45,56.38,17571,18
121,2019-01-06 00:00:00,2,1,2630,76280,109.96,97.87,163.39,115.08,26347,3967
122,2019-01-06 01:00:00,5,17,8748,64328,27.79,56.28,153.89,56.38,15755,4957
123,2019-01-06 00:00:00,5,69,9198,31628,241.4,18.7,121.78,120.74,5330,1239
124,2019-06-01 00:00:00,1,41,6622,7183,329.08,77.19,93.87,104.75,49286,2040
125,2019-06-01 00:00:00,2,56,4903,63948,490.07,5.84,127.59,105.24,41135,3100
126,2019-06-01 00:00:00,1,58,3704,14613,304.79,14.58,92.24,114.24,24607,188
127,2019-01-06 06:00:00,2,70,105,49235,139.31,76.03,173.03,39.08,18993,4686
128,2019-01-06 00:00:00,1,21,7759,16350,364.24,18.1,167.08,51.9,26852,886
129,2019-01-06 00:00:00,4,54,3786,60789,62.35,20.19,157.45,121.27,6570,1482
130,2019-06-01 00:00:00,1,44,3498,19631,344.97,27.56,19.38,113.94,48736,2323
131,2019-01-06 10:00:00,1,51,8400,79992,226.28,23.62,114.41,108.47,36144,4152
132,2019-06-01 00:00:00,3,66,7815,13854,482.82,99.22,193.31,97.46,25713,325
133,2019-01-06 12:00:00,2,26,882,70780,363.92,34.97,104.96,85.27,29009,3519
134,2019-01-06 00:00:00,4,13,3436,54951,234.61,11.39,183.97,68.5,49757,827
135,2019-01-06 00:00:00,1,18,7353,60255,346.21,76.52,141.1,107.07,43477,2999
136,2019-01-06 00:00:00,4,70,3566,16715,70.53,76.17,121.22,4.94,12125,932
137,2019-06-01 00:00:00,2,71,8262,82082,474.5,72.27,158.91,59.58,13129,2355
138,2019-01-06 00:00:00,5,16,4524,29381,339.82,56.96,8.89,108.98,27125,450
139,2019-06-01 00:00:00,3,16,1925,62029,91.66,5.3,23.63,32.46,32345,4846
140,2019-06-01 00:00:00,3,69,6582,81851,176.46,85.64,173.9,30.09,4553,373
141,2019-06-01 00:00:00,2,72,5963,28797,274.82,27.86,36.86,21.56,15215,4353
142,2019-06-01 00:00:00,3,28,569,8667,100.98,12.4,197.97,21.69,47334,570
143,2019-01-06 00:00:00,5,73,4847,30061,460.38,98.51,189.83,3.57,8736,2038
144,2019-06-01 00:00:00,4,55,8288,92467,169.62,51.06,65.21,20.49,30991,3989
145,2019-01-07 00:00:00,1,74,199,54702,433.18,87.04,74.9,76.15,25914,2788
146,2019-07-01 00:00:00,2,70,1386,29441,350.09,43.56,58.23,91.67,48530,3641
147,2019-07-01 00:00:00,2,75,9177,40482,376.53,5.92,170.95,99.91,22945,277
148,2019-01-07 00:00:00,3,9,7244,50619,255.255,50.125,102.34,75.33,15023,1913
149,2019-01-07 00:00:00,1,36,5880,52575,464.44,35.51,134.2,64.23,12354,2100
150,2019-01-07 00:00:00,3,12,5220,64431,20.71,11.79,180.33,64.88,29100,2747
151,2019-07-01 00:00:00,3,46,4785,27515,62.09,36.34,101.41,6.37,9718,915
152,2019-01-07 07:00:00,4,75,5012,10424,121.99,63.61,12.5,36.01,34372,1724
153,2019-01-07 00:00:00,4,65,1020,51513,386.49,56.81,50.27,118.63,9358,406
154,2019-07-01 00:00:00,3,14,818,49856,474.53,80.26,23.8,145.92,33469,4731
155,2019-01-07 00:00:00,5,22,5120,30101,314.83,84.0,75.93,13.95,9649,2456
156,2019-01-07 00:00:00,2,43,5730,76350,253.78,92.25,169.23,135.92,42975,1245
157,2019-01-07 00:00:00,5,53,604,68724,327.88,42.35,91.2,8.15,38707,3381
158,2019-01-07 00:00:00,2,76,7591,14883,22.6,23.47,40.04,149.59,5854,1833
159,2019-01-07 00:00:00,1,75,5441,8554,20.35,3.31,130.25,43.69,15051,2541
160,2019-01-07 00:00:00,1,2,8608,30466,321.85,59.63,125.47,28.99,26426,925
161,2019-01-07 16:00:00,5,77,4589,11730,451.64,6.42,82.93,73.89,45008,922
162,2019-01-07 17:00:00,3,77,3420,27624,231.11,0.65,80.65,31.48,9150,4426
163,2019-07-01 00:00:00,3,74,865,24581,292.02,34.98,161.92,127.66,48446,2920
164,2019-01-07 19:00:00,1,53,4446,46135,71.65,16.79,79.01,84.45,22400,3498
165,2019-01-07 00:00:00,3,36,6667,7941,12.65,21.93,66.27,149.41,40914,1410
166,2019-01-07 00:00:00,4,34,2318,27310,230.71,65.53,106.91,73.76,11657,2301
167,2019-01-07 22:00:00,1,24,8112,66397,93.6,51.53,156.0,57.04,5992,4587
168,2019-01-07 00:00:00,2,78,8074,50619,255.255,50.125,102.34,75.33,38899,1309
169,2019-08-01 00:00:00,2,25,9921,72589,414.21,59.31,21.18,79.84,8063,4249
170,2019-01-08 00:00:00,3,79,6256,54897,432.7,77.84,33.72,120.13,21461,3503
171,2019-01-08 00:00:00,2,79,9869,59022,417.47,98.5,14.69,92.44,43124,3991
172,2019-01-08 00:00:00,2,80,1406,49765,320.05,25.12,105.73,85.17,5790,1218
173,2019-01-08 04:00:00,5,81,7068,2724,408.49,21.7,178.43,128.74,10216,2466
174,2019-01-08 00:00:00,5,13,3887,2094,291.81,64.8,102.26,67.62,41911,595
175,2019-01-08 00:00:00,2,65,9879,30710,52.43,66.38,96.04,31.3,42306,3927
176,2019-01-08 00:00:00,1,73,5062,10136,135.98,52.04,144.04,89.58,41641,1080
177,2019-01-08 00:00:00,2,82,2788,61812,331.3,39.37,177.65,42.04,6915,3467
178,2019-01-08 00:00:00,4,83,9843,95249,268.75,27.84,10.16,107.83,21999,2160
179,2019-01-08 00:00:00,1,10,1607,99878,63.56,84.25,6.12,48.44,4300,3534
180,2019-01-08 00:00:00,4,84,4062,85200,495.54,32.75,13.27,131.73,13178,228
181,2019-01-08 12:00:00,4,71,2278,76484,337.45,24.03,110.99,63.09,31932,3151
182,2019-01-08 13:00:00,3,44,7781,68328,309.86,80.25,133.77,17.4,45916,1427
183,2019-08-01 00:00:00,5,85,7887,93435,494.28,26.74,158.09,3.18,8675,1482
184,2019-08-01 00:00:00,3,79,2059,75881,21.17,48.47,35.89,106.54,46572,3659
185,2019-01-08 00:00:00,4,12,5517,89625,291.0,55.59,36.4,107.67,18087,2115
186,2019-01-08 00:00:00,3,63,5917,47754,196.17,12.52,67.2,108.24,20033,3102
187,2019-01-08 18:00:00,3,69,8212,57606,50.32,97.9,55.42,23.92,27515,926
188,2019-08-01 00:00:00,1,34,6797,88596,470.44,46.68,88.99,9.51,8891,599
189,2019-01-08 00:00:00,3,12,1790,11713,186.33,5.17,172.59,41.32,35354,4622
190,2019-08-01 00:00:00,1,72,5239,31078,287.24,31.43,106.95,72.98,16651,3034
191,2019-01-08 00:00:00,3,45,9920,29550,119.2,56.33,128.51,10.6,13590,4958
192,2019-08-01 00:00:00,3,19,6265,24056,278.16,70.75,27.12,122.13,5350,602
193,2019-01-09 00:00:00,4,55,3683,5986,420.36,71.61,73.18,104.5,40163,1026
194,2019-09-01 00:00:00,4,50,5246,26495,57.54,25.52,6.83,17.74,15129,3871
195,2019-09-01 00:00:00,2,86,2758,20544,265.27,31.22,180.78,43.35,19267,3334
196,2019-01-09 03:00:00,2,19,3093,22642,201.26,5.54,144.25,97.33,8309,1929
197,2019-01-09 00:00:00,1,38,4335,67037,473.23,93.89,135.64,18.26,6775,3370
198,2019-01-09 00:00:00,4,35,4305,53752,168.16,1.62,143.37,29.73,21348,2480
199,2019-01-09 00:00:00,2,87,7961,21253,279.75,78.3,65.06,55.71,45809,747
200,2019-01-09 00:00:00,3,83,6499,50619,255.255,50.125,102.34,75.33,27888,2326
201,2019-01-09 08:00:00,4,24,9494,63883,446.58,60.1,92.87,57.1,11020,1657
202,2019-09-01 00:00:00,3,22,4116,47017,53.59,83.44,166.92,10.48,3217,3253
203,2019-01-09 00:00:00,3,69,380,33976,374.09,47.91,157.04,137.72,7076,199
204,2019-01-09 00:00:00,1,1,2621,40285,388.18,72.09,44.33,19.39,45456,1396
205,2019-01-09 00:00:00,4,69,4114,25006,367.26,38.96,112.54,124.59,24044,709
206,2019-01-09 13:00:00,3,50,585,32303,113.42,83.66,86.81,122.41,28822,888
207,2019-01-09 14:00:00,1,52,4961,22131,83.63,33.14,165.48,130.34,3332,4293
208,2019-09-01 00:00:00,5,5,6960,65883,165.21,11.6,5.33,13.94,30321,1452
209,2019-01-09 00:00:00,5,1,2970,8795,486.26,36.34,11.92,147.95,1022,1114
210,2019-09-01 00:00:00,3,88,7782,10179,135.68,98.64,177.83,74.66,2473,2144
211,2019-01-09 18:00:00,3,46,2493,21817,334.96,65.97,156.57,75.75,44680,347
212,2019-01-09 19:00:00,5,82,1413,83001,386.12,29.5,33.87,14.26,40717,350
213,2019-09-01 00:00:00,2,54,7899,47790,314.13,68.28,132.04,72.73,46220,405
214,2019-09-01 00:00:00,1,32,2407,19866,257.87,94.46,21.36,85.74,7440,2207
215,2019-01-09 00:00:00,3,43,7013,45153,473.36,3.89,91.61,8.35,5988,2901
216,2019-01-09 00:00:00,5,38,2461,38635,436.31,78.66,86.27,25.37,30433,3159
217,2019-01-10 00:00:00,5,58,4336,72512,143.02,52.62,193.36,82.11,8175,4451
218,2019-01-10 00:00:00,5,59,8545,93345,487.63,26.21,101.37,12.22,3219,1321
219,2019-01-10 00:00:00,5,19,3464,68313,208.18,62.38,61.29,13.74,34240,3331
220,2019-01-10 03:00:00,5,23,8684,76615,396.75,71.07,97.47,60.49,26517,4951
221,2019-10-01 00:00:00,5,78,8427,70271,160.19,75.04,168.39,33.72,44002,4136
222,2019-01-10 00:00:00,3,89,5141,49751,456.52,30.67,139.66,31.43,5307,2031
223,2019-01-10 00:00:00,1,52,3361,75575,461.43,28.66,83.3,42.02,20781,3643
224,2019-01-10 07:00:00,5,19,6340,29168,39.19,12.12,17.94,38.61,40393,3166
225,2019-01-10 08:00:00,5,53,7876,82220,65.86,69.57,137.72,93.09,10664,2560
226,2019-10-01 00:00:00,5,90,6879,25805,312.58,0.69,38.19,85.34,22150,4387
227,2019-01-10 10:00:00,5,90,2374,94141,471.63,83.8,77.14,90.94,45360,2620
228,2019-01-10 11:00:00,5,27,1531,82527,90.52,40.72,88.67,72.27,49647,2453
229,2019-10-01 00:00:00,4,33,720,51601,42.82,31.62,164.15,8.15,4427,2894
230,2019-10-01 00:00:00,4,38,9337,95661,270.19,91.0,164.63,145.34,5999,2962
231,2019-01-10 00:00:00,5,6,7001,52387,425.2,42.57,122.03,18.75,17691,2640
232,2019-01-10 00:00:00,5,19,9516,8053,133.86,14.21,107.8,117.75,34568,4743
233,2019-01-10 00:00:00,2,19,3571,64498,178.82,11.07,108.05,128.14,14430,2114
234,2019-01-10 17:00:00,2,62,8856,32063,303.02,31.84,197.9,22.39,30109,3509
235,2019-10-01 00:00:00,1,35,3849,5816,424.99,52.58,36.88,95.41,15504,1679
236,2019-01-10 19:00:00,4,52,2592,47882,123.07,78.61,48.65,94.68,34057,3249
237,2019-01-10 20:00:00,3,35,3395,36517,458.01,10.8,126.56,34.53,14967,177
238,2019-10-01 00:00:00,1,85,7342,62869,445.17,11.38,73.08,2.26,29514,3551
239,2019-01-10 00:00:00,1,17,1217,46024,390.22,88.67,85.39,9.85,18204,1657
240,2019-10-01 00:00:00,5,8,6715,34636,444.93,34.26,21.68,38.93,6531,3650
241,2019-11-01 00:00:00,5,7,9534,87954,154.99,80.29,85.92,141.33,35250,681
242,2019-11-01 00:00:00,3,39,8816,73421,84.48,80.8,31.49,97.62,16184,3363
243,2019-01-11 00:00:00,2,91,611,29892,298.7,83.67,44.51,149.35,23003,3047
244,2019-11-01 00:00:00,5,23,2826,21380,78.52,89.89,151.21,109.4,19550,4215
245,2019-01-11 00:00:00,4,38,8387,29792,410.13,18.09,174.34,54.89,33699,2948
246,2019-01-11 05:00:00,3,92,2017,1927,291.14,24.66,146.68,126.49,36240,3577
247,2019-11-01 00:00:00,3,38,2095,45015,359.24,17.41,13.09,113.91,39813,1504
248,2019-01-11 00:00:00,5,29,2514,65835,389.77,21.64,186.62,71.28,32638,3022
249,2019-01-11 00:00:00,3,93,3171,68712,381.05,69.04,52.75,37.68,13053,801
250,2019-01-11 09:00:00,2,42,1692,1537,476.31,79.59,146.09,139.22,42037,848
251,2019-11-01 00:00:00,5,81,5218,12174,42.17,36.15,45.24,65.65,33309,2147
252,2019-01-11 11:00:00,2,60,5905,49652,432.69,81.93,14.98,116.5,10071,3344
253,2019-01-11 00:00:00,2,19,113,72842,154.62,85.53,21.31,84.14,37281,1776
254,2019-01-11 00:00:00,4,75,8347,20261,373.43,54.45,85.23,42.65,9282,3549
255,2019-01-11 14:00:00,5,44,4597,83237,425.76,34.71,133.87,41.83,46960,119
256,2019-11-01 00:00:00,4,55,2014,79123,30.0,22.68,163.17,43.04,49789,3617
257,2019-01-11 16:00:00,4,7,8388,18554,74.57,30.09,42.91,63.5,17698,974
258,2019-11-01 00:00:00,3,82,6809,28947,313.4,95.72,115.56,119.95,31408,60
259,2019-01-11 00:00:00,1,94,9624,78462,205.37,26.24,26.62,44.66,12977,2848
260,2019-01-11 19:00:00,5,45,5313,61456,186.3,89.48,97.12,85.96,8122,4434
261,2019-01-11 00:00:00,2,74,7427,81201,475.45,4.87,145.15,106.3,36827,1825
262,2019-01-11 00:00:00,3,91,4581,13229,121.39,34.74,165.66,77.53,6211,1951
263,2019-01-11 00:00:00,4,28,6382,50619,255.255,50.125,102.34,75.33,16283,144
264,2019-11-01 00:00:00,4,60,5058,99503,307.14,5.76,178.42,68.22,16034,1584
265,2019-01-12 00:00:00,5,79,4678,47764,253.4,53.52,15.83,34.11,39099,4230
266,2019-01-12 00:00:00,3,55,196,57376,268.54,56.77,117.13,90.76,1829,618
267,2019-01-12 02:00:00,2,19,415,43305,159.42,66.43,49.79,48.94,28394,1064
268,2019-01-12 00:00:00,4,84,6043,27646,262.26,64.35,168.75,92.9,47803,1933
269,2019-01-12 00:00:00,3,22,9444,9849,136.41,49.31,109.12,148.18,25263,1465
270,2019-01-12 00:00:00,2,64,8227,69139,401.61,85.81,107.72,111.49,25201,1736
271,2019-12-01 00:00:00,3,39,861,28652,491.02,46.82,79.95,104.88,5589,4047
272,2019-01-12 00:00:00,4,71,3695,90371,275.36,84.6,104.86,103.58,5317,3691
273,2019-12-01 00:00:00,4,51,4307,78543,104.11,82.57,117.54,76.99,23263,4772
274,2019-01-12 00:00:00,2,6,8424,73552,23.38,9.17,61.63,5.57,14709,3133
275,2019-01-12 00:00:00,3,8,849,9796,350.78,16.11,155.94,98.9,4897,3150
276,2019-01-12 11:00:00,4,89,9495,83166,192.35,92.63,30.05,8.2,7404,310
277,2019-01-12 00:00:00,3,14,3663,51295,69.56,98.99,104.71,123.57,8001,4685
278,2019-12-01 00:00:00,5,20,4110,99113,197.64,0.62,11.22,82.48,28661,476
279,2019-01-12 14:00:00,2,73,9032,80685,317.99,49.45,72.24,100.97,20872,3637
280,2019-01-12 00:00:00,1,90,8605,33652,44.52,8.28,11.68,84.26,42174,2906
281,2019-12-01 00:00:00,2,45,3329,78774,185.35,55.46,158.27,25.67,8236,3687
282,2019-01-12 17:00:00,4,6,6773,65098,436.19,86.16,91.94,110.47,42169,2438
283,2019-01-12 00:00:00,3,44,9864,14621,171.18,28.6,46.76,72.66,14573,1320
284,2019-12-01 00:00:00,2,9,7925,49769,53.82,75.4,157.86,137.48,48003,1096
285,2019-01-12 00:00:00,1,80,5037,38620,221.2,76.05,196.45,90.1,23962,1154
286,2019-12-01 00:00:00,5,77,8863,75730,123.14,87.49,116.94,12.14,25382,2623
287,2019-01-12 00:00:00,4,16,3265,34941,405.76,51.97,109.19,34.14,9200,3919
288,2019-12-01 00:00:00,3,31,6458,49629,83.43,83.83,30.97,40.21,14994,3135
289,2019-01-13 00:00:00,5,95,5778,39733,347.76,42.88,24.64,141.2,43721,2796
290,2019-01-13 00:00:00,4,38,3075,69721,160.63,51.95,38.95,82.94,48554,365
291,2019-01-13 00:00:00,2,33,5377,76089,211.17,21.67,119.58,76.63,10208,241
292,2019-01-13 03:00:00,2,56,4035,59928,304.05,58.7,69.38,137.68,20046,4782
293,2019-01-13 00:00:00,1,17,2205,50619,255.255,50.125,102.34,75.33,5721,4244
294,2019-01-13 05:00:00,5,64,8481,59252,337.16,64.39,133.5,73.52,32410,1478
